player,position,age,team_id,g,mp_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,pts_per_g
Steven Adams,C,26,OKC,63,26.7,9.3,2.3,0.8,1.1,10.9
Bam Adebayo,PF,22,MIA,72,33.6,10.2,5.1,1.1,1.3,15.9
LaMarcus Aldridge,C,34,SAS,53,33.1,7.4,2.4,0.7,1.6,18.9
Kyle Alexander,C,23,MIA,2,6.5,1.5,0.0,0.0,0.0,1.0
Nickeil Alexander-Walker,SG,21,NOP,47,12.6,1.8,1.9,0.4,0.2,5.7
Grayson Allen,SG,24,MEM,38,18.9,2.2,1.4,0.3,0.1,8.7
Jarrett Allen,C,21,BRK,70,26.5,9.6,1.6,0.6,1.3,11.1
Kadeem Allen,PG,27,NYK,10,11.7,0.9,2.1,0.5,0.2,5.0
Al-Farouq Aminu,PF,29,ORL,18,21.1,4.8,1.2,1.0,0.4,4.3
Justin Anderson,SG,26,BRK,10,10.7,2.1,0.8,0.0,0.6,2.8
Kyle Anderson,SF,26,MEM,67,19.9,4.3,2.4,0.8,0.6,5.8
Ryan Anderson,C,31,HOU,2,7.0,3.5,1.0,0.5,0.0,2.5
Giannis Antetokounmpo,PF,25,MIL,63,30.4,13.6,5.6,1.0,1.0,29.5
Kostas Antetokounmpo,PF,22,LAL,5,4.0,0.6,0.4,0.0,0.0,1.4
Thanasis Antetokounmpo,SF,27,MIL,20,6.5,1.2,0.8,0.4,0.1,2.8
Carmelo Anthony,PF,35,POR,58,32.8,6.3,1.5,0.8,0.5,15.4
OG Anunoby,SF,22,TOR,69,29.9,5.3,1.6,1.4,0.7,10.6
Ryan Arcidiacono,PG,25,CHI,58,16.0,1.9,1.7,0.5,0.1,4.5
Trevor Ariza,SF,34,TOT,53,28.2,4.6,1.7,1.3,0.3,8.0
D.J. Augustin,PG,32,ORL,57,24.9,2.1,4.6,0.6,0.0,10.5
Deandre Ayton,C,21,PHO,38,32.5,11.5,1.9,0.7,1.5,18.2
Dwayne Bacon,SG,24,CHO,39,17.6,2.6,1.3,0.6,0.1,5.7
Marvin Bagley III,C,20,SAC,13,25.7,7.5,0.8,0.5,0.9,14.2
Lonzo Ball,PG,22,NOP,63,32.1,6.1,7.0,1.4,0.6,11.8
Mo Bamba,C,21,ORL,62,14.2,4.9,0.7,0.4,1.4,5.4
J.J. Barea,PG,35,DAL,29,15.5,1.8,3.9,0.2,0.1,7.7
Harrison Barnes,PF,27,SAC,72,34.5,4.9,2.2,0.6,0.2,14.5
RJ Barrett,SG,19,NYK,56,30.4,5.0,2.6,1.0,0.3,14.3
Will Barton,SF,29,DEN,58,33.0,6.3,3.7,1.1,0.5,15.1
Keita Bates-Diop,PF-SF,24,TOT,44,16.9,2.9,0.7,0.4,0.5,6.5
Nicolas Batum,SF,31,CHO,22,23.0,4.5,3.0,0.8,0.4,3.6
Aron Baynes,C,33,PHO,42,22.2,5.6,1.6,0.2,0.5,11.5
Kent Bazemore,SF,30,TOT,68,24.8,4.3,1.4,1.1,0.6,8.8
